Alarm Clock	-23.077754668491092
Amplifier	-29.004430714704412
Battery	-24.140519159937995
Blu Ray Player	-34.606802574922696
Cable Modem	-25.81213274737636
Camcorder	-31.067387046551467
Camera	-33.39013547208854
Car Stereo	-31.13515369692789
CDPlayer	-21.20899863620983
CellPhone	-26.048119385949413
Computer	-30.472384459217004
DVDPlayer	-25.27155096020417
Fan	-24.536885801202512
GPS	-28.590441847187755
Graphics Card	-34.006036998144495
HardDrive	-29.125549175303117
Headphone	-28.001057337387188
Home Theater System	-31.00714289717024
Iron	-22.883571796597014
Keyboard	-26.130104681005058
Kindle	-23.942053558856717
Lamp	-21.814075811967246
Laptop	-24.796386229965456
Media Player	-33.95318872809142
Memory Card	-21.139898093386837
Microphone	-27.335436361500633
Microwave	-27.733018833959978
Monitor	-32.12210287299419
Mouse	-26.403851544217993
MP3 Player	-28.603594339875407
Network Adapter	-27.600908711208856
Printer	-30.80187983190048
Projector	-34.460394723510746
Radar Detector	-28.93696200280878
Remote Control	-30.33040802251188
Rice Cooker	-24.28007971355183
Scanner	-31.406775122900687
Speaker	-25.07824499035439
Subwoofer	-27.401988492624312
Tablet	-26.607701051861916
Telephone	-26.66416123431574
TV	-27.930184744737815
Vacuum	-30.404534974995407
Video Player	-31.08161182986924
Video Recorder	-34.399026719269706
Voice Recorder	-31.341821680778143
Watch	-22.935714765640096
Webcam	-24.681243343167623
Wireless Router	-32.40150790204421
Xbox	-28.73723390836279
average	-28.096843003956163
