Android Appstore	-317.1239015575136
Appliances	-342.3419838824338
Arts Crafts Sewing	-323.61133345718036
Automotive	-313.2908137997574
Baby	-320.5526647367056
Bag	-326.01163426100743
Beauty	-330.1576649839872
Bike	-329.1128013135183
Books	-343.0966147387791
Cable	-313.1107613750182
Care	-311.85348264899653
Clothing	-320.2221647134809
Conditioner	-317.6699269884065
Diaper	-336.90470987748597
Dining	-337.85729553441234
Dumbbell	-341.6805875014478
Flashlight	-340.4438507097536
Food	-317.5781769354107
Gloves	-316.51150214001785
Golf	-318.72739369659723
Home Improvement	-327.2287533290237
Industrial Scientific	-311.8443433921105
Jewelry	-341.34958362673973
Kindle Store	-328.5927125182154
Kitchen	-339.2074434597769
Knife	-334.09226612290917
Luggage	-335.61793219579135
Magazine Subscriptions	-326.8656044918769
Mat	-317.266633365869
Mattress	-336.71070102990325
Movies TV	-330.50291004626433
Music	-353.4422438866452
Musical Instruments	-327.8405232706498
Office Products	-329.7977916666374
Patio Lawn Garden	-337.117820905519
Pet Supplies	-313.9796940397193
Pillow	-327.2767590590077
Sandal	-323.0074559563234
Scooter	-321.336970696438
Shoes	-328.6619098077482
Software	-356.66768426552466
Sports	-321.7311361005468
Table Chair	-328.02779555143593
Tent	-343.5072300302556
Tire	-325.6319910949
Toys	-333.5548743243583
Video Games	-357.22707724772266
Vitamin Supplement	-335.3010083378318
Wall Clock	-325.3644015855881
Water Filter	-328.66487180964685
average	-329.3055477613379
