Android Appstore	-165.74993103387348
Appliances	-137.98325291344244
Arts Crafts Sewing	-147.1189572550342
Automotive	-153.13406333463763
Baby	-150.34996784442802
Bag	-142.768274612915
Beauty	-156.85413508084903
Bike	-144.4804229673795
Books	-159.00478109478155
Cable	-146.52744295306556
Care	-149.4380063596489
Clothing	-152.38193810452856
Conditioner	-136.41714812054323
Diaper	-142.88509808869966
Dining	-151.81144721172936
Dumbbell	-150.73347998906445
Flashlight	-130.065242901423
Food	-155.25990890750222
Gloves	-143.57943134799262
Golf	-141.19287040729157
Home Improvement	-157.9008234401426
Industrial Scientific	-157.52607655696394
Jewelry	-156.10273676233444
Kindle Store	-141.4114384400557
Kitchen	-155.25201467855095
Knife	-156.53331219650966
Luggage	-134.87544066386755
Magazine Subscriptions	-152.6486744847782
Mat	-155.2900933093693
Mattress	-153.92090523109886
Movies TV	-128.7042296926417
Music	-160.98632382157294
Musical Instruments	-154.4694221718228
Office Products	-154.04323452297925
Patio Lawn Garden	-163.42453946771676
Pet Supplies	-154.02966497589966
Pillow	-144.94806389865087
Sandal	-148.45868613366244
Scooter	-151.7710881072213
Shoes	-146.92109318549075
Software	-146.36350714985454
Sports	-153.43112225310443
Table Chair	-159.46735370395237
Tent	-147.78900910701702
Tire	-150.38941703629428
Toys	-168.35813702576579
Video Games	-160.83105239654702
Vitamin Supplement	-140.02850407173983
Wall Clock	-143.1001300798315
Water Filter	-153.90121190924955
average	-150.21226214007035
