Android Appstore	-131.5168939277658
Appliances	-150.0825902150188
Arts Crafts Sewing	-135.1510415694582
Automotive	-132.14250332471593
Baby	-135.28374111151095
Bag	-143.39107583475734
Beauty	-133.60468026877177
Bike	-142.35909379450396
Books	-135.7821959899225
Cable	-133.11005763208635
Care	-133.03285586602436
Clothing	-139.91960486445777
Conditioner	-136.9186611344436
Diaper	-140.788304793829
Dining	-145.6148872634445
Dumbbell	-142.32522600910443
Flashlight	-148.0856728910687
Food	-132.611791121013
Gloves	-137.5675502146742
Golf	-141.68990268609429
Home Improvement	-139.58804241533434
Industrial Scientific	-130.93871827215747
Jewelry	-143.82690538362004
Kindle Store	-146.22232987085354
Kitchen	-148.0069786215722
Knife	-145.49333716079667
Luggage	-140.64580548724035
Magazine Subscriptions	-134.70507222232922
Mat	-138.16520062395003
Mattress	-150.75065974340887
Movies TV	-134.49865270697092
Music	-145.3119727377545
Musical Instruments	-140.74705706443606
Office Products	-140.96254646797692
Patio Lawn Garden	-142.14664367195775
Pet Supplies	-133.58182437771796
Pillow	-142.66327906487442
Sandal	-136.46791899838325
Scooter	-141.9666445810832
Shoes	-142.56186100639775
Software	-153.66132789706757
Sports	-141.15635385305637
Table Chair	-138.92985165843018
Tent	-148.15422111872468
Tire	-141.61867185563892
Toys	-131.47912553561204
Video Games	-142.1905886262916
Vitamin Supplement	-139.60883821587566
Wall Clock	-132.89882992427744
Water Filter	-145.9752307050914
average	-140.11805640763095
