Android Appstore	-160.59020490382628
Appliances	-141.03170189733996
Arts Crafts Sewing	-142.59432908382095
Automotive	-144.95623152707958
Baby	-140.34716979034016
Bag	-136.78304341839348
Beauty	-153.12191716778892
Bike	-135.4579039092443
Books	-154.72150325153265
Cable	-136.10630304910427
Care	-133.6253494595318
Clothing	-139.75327988903376
Conditioner	-135.60904966191146
Diaper	-139.63100191991862
Dining	-146.55624089201584
Dumbbell	-142.3141366628683
Flashlight	-141.886616817418
Food	-149.63465525762984
Gloves	-141.07539750471736
Golf	-136.81441315155922
Home Improvement	-144.76403177169897
Industrial Scientific	-147.38109222656703
Jewelry	-156.2481460370058
Kindle Store	-138.98087856508306
Kitchen	-140.01006663405244
Knife	-149.7921844384485
Luggage	-141.3888036168946
Magazine Subscriptions	-140.3091397880465
Mat	-134.55590716843264
Mattress	-148.5216453091544
Movies TV	-138.58931593647827
Music	-155.6309510542978
Musical Instruments	-143.7141371564916
Office Products	-142.91372989433972
Patio Lawn Garden	-142.49408871294037
Pet Supplies	-146.792144160723
Pillow	-141.09269090363537
Sandal	-144.3333010335852
Scooter	-146.56666393691836
Shoes	-144.63847086500306
Software	-149.33802126127586
Sports	-146.06684927124724
Table Chair	-146.80870567133942
Tent	-142.7921664276141
Tire	-142.3528232251317
Toys	-159.4622736409765
Video Games	-153.16453317707726
Vitamin Supplement	-142.4007194692198
Wall Clock	-139.2012563605852
Water Filter	-141.46080761405466
average	-144.08751989086787
