Android Appstore	-146.05726518185003
Appliances	-143.09077885216564
Arts Crafts Sewing	-135.72038759683724
Automotive	-131.8834053976304
Baby	-139.69034624194495
Bag	-137.6476667748236
Beauty	-144.47119885452204
Bike	-137.06231337278055
Books	-146.6193811399989
Cable	-130.58895783799528
Care	-131.43170894254698
Clothing	-139.8246203502263
Conditioner	-141.45773479081163
Diaper	-143.608209953587
Dining	-147.21521335688428
Dumbbell	-147.23229275105453
Flashlight	-147.24393855217323
Food	-141.40973143607837
Gloves	-136.7345882966248
Golf	-139.9697519169333
Home Improvement	-141.35531405997511
Industrial Scientific	-139.15098620275572
Jewelry	-151.0051658487712
Kindle Store	-143.46897396687916
Kitchen	-143.20922395220833
Knife	-147.68367816672242
Luggage	-138.7044051649544
Magazine Subscriptions	-138.57043643135978
Mat	-136.89874819836035
Mattress	-149.1857951120088
Movies TV	-136.99674728874456
Music	-155.20258485523237
Musical Instruments	-143.95679399213077
Office Products	-140.26768200405613
Patio Lawn Garden	-143.21485172062341
Pet Supplies	-139.96120850938146
Pillow	-142.9097134001781
Sandal	-143.27941116907286
Scooter	-137.34241771283305
Shoes	-149.29424576287053
Software	-150.8902772543458
Sports	-142.8472307879143
Table Chair	-144.00681770848846
Tent	-146.46717161042392
Tire	-139.66454879232802
Toys	-150.71994859822684
Video Games	-158.14147856095457
Vitamin Supplement	-143.5274049934395
Wall Clock	-140.55799399016945
Water Filter	-142.1327333690021
average	-142.5914696156376
