Android Appstore	-167.86456182716714
Appliances	-139.25447872356384
Arts Crafts Sewing	-146.32310125436146
Automotive	-162.07842357765486
Baby	-151.97095556163262
Bag	-145.6243020297189
Beauty	-159.9529165712696
Bike	-145.99327178569797
Books	-162.33349595585048
Cable	-143.1918088137794
Care	-154.5879201612364
Clothing	-147.98211122200146
Conditioner	-138.6992855186053
Diaper	-145.53220418181448
Dining	-151.41333364576562
Dumbbell	-152.82742939172863
Flashlight	-147.24225695515662
Food	-155.85396517456556
Gloves	-148.3097916220922
Golf	-149.8561587388477
Home Improvement	-158.83937408519287
Industrial Scientific	-158.8296499690954
Jewelry	-155.1392197394665
Kindle Store	-152.1960259774072
Kitchen	-155.56019317572841
Knife	-156.01411304433594
Luggage	-141.35770844083555
Magazine Subscriptions	-152.462742503117
Mat	-147.04508842527784
Mattress	-157.07182095789483
Movies TV	-134.65868551874044
Music	-159.8780556127838
Musical Instruments	-156.3121605402373
Office Products	-155.02831262637258
Patio Lawn Garden	-160.5070484754695
Pet Supplies	-157.46416348486716
Pillow	-153.22433983456125
Sandal	-154.45160618400413
Scooter	-156.60054645629657
Shoes	-151.7820876651619
Software	-148.7176735717966
Sports	-157.61376195982834
Table Chair	-161.65633726104443
Tent	-148.745616376685
Tire	-152.83652318189587
Toys	-167.5149149128594
Video Games	-158.80985839420947
Vitamin Supplement	-141.03226594867982
Wall Clock	-148.53634358128676
Water Filter	-152.71978393238413
average	-152.58995589100056
