Alarm Clock	-50.799452171157675
Amplifier	-79.13097418604825
Battery	-53.47393003886817
Blu Ray Player	-97.42634709198903
Cable Modem	-66.52778038139705
Camcorder	-98.947531935089
Camera	-84.38462051940404
Car Stereo	-72.44751688336646
CDPlayer	-49.64276077379658
CellPhone	-50.64816496167962
Computer	-95.90455532032703
DVDPlayer	-65.77482208050439
Fan	-64.86263946271507
GPS	-76.54720446878879
Graphics Card	-123.31057658165247
HardDrive	-72.37911481963353
Headphone	-77.94012204767115
Home Theater System	-88.9914871484134
Iron	-63.10102327898645
Keyboard	-65.9353849912735
Kindle	-59.56972985430116
Lamp	-49.30607521038375
Laptop	-55.662943426562606
Media Player	-122.82630873410719
Memory Card	-50.78673706702187
Microphone	-61.11387261039904
Microwave	-67.16768171409714
Monitor	-86.07983523166823
Mouse	-66.72870740359951
MP3 Player	-66.49865077508932
Network Adapter	-68.84629808901504
Printer	-86.5674857689008
Projector	-99.98220585233797
Radar Detector	-90.04607484635677
Remote Control	-78.61111797826679
Rice Cooker	-60.2806351659274
Scanner	-88.90290183623898
Speaker	-69.73888435004908
Subwoofer	-67.83405426881967
Tablet	-74.15850310568482
Telephone	-57.348791368478196
TV	-80.52455634548873
Vacuum	-87.39827831724317
Video Player	-91.34913878994313
Video Recorder	-111.73021006761101
Voice Recorder	-74.7532856236763
Watch	-53.61297196349455
Webcam	-69.4556576987136
Wireless Router	-90.23564668015037
Xbox	-82.9494592792157
average	-75.36485417131206
